Date,Time,Category,Qty,Price Point Name,SKU,Gross Sales,Discounts,Customer ID,Cost,Margin,Gender,Age,State
8/3/18,15:11:34,Antiques,1,Regular,1474,$96.00 ,($14.40),63B6R92GZS5EMQ8SKJM1GDV84G,71.25,26%,Female,36-45,NC
11/24/17,15:35:04,Vintage Clothing,1,,36,$96.00 ,($19.20),YNMZ7Q9SCH5R4NV2SY8TNKDTA8,71.25,26%,Female,46-55,NC
4/21/18,14:53:40,Furniture,1,,425,$95.99 ,$0.00 ,JJY0KHGKJS0KRKGA1B72KVKJG0,71.25,26%,Male,56-64,NC
7/28/18,12:47:21,Antiques,1,Regular,1353,$95.00 ,$0.00 ,9D6DARVHJX61GVMM0AF13XBGJW,102.34,-8%,Female,18-25,FL
3/24/18,15:27:49,Furniture,1,Regular,638,$95.00 ,($19.00),7B94RT0BS5446R609EF4VK5WMM,102.34,-8%,Male,64+,NC
12/7/17,12:15:05,Handmade - Textiles,1,,498,$95.00 ,$0.00 ,P84AX8D18X5CGG2630AQXN0HK0,102.34,-8%,Female,18-25,NC
8/29/18,12:31:38,None,1,,1089,$94.00 ,($18.80),CH1FAZ6YQ95XRK4P96CG2437PM,102.34,-9%,Female,26-35,NC
8/21/18,13:00:13,Antiques,1,Regular,1402,$94.00 ,($18.80),8TS04YWCD1180M0NGAVWVADGX8,102.34,-9%,Female,18-25,SC
6/1/18,15:08:18,Furniture,1,Regular,128,$93.99 ,$0.00 ,C7HKRAF5GD7GX97E34HFEPJ9QR,12.43,87%,Female,26-35,SC
9/21/18,19:13:46,Furniture,1,Regular,1470,$85.00 ,$0.00 ,8TC6H6D9MD07TQ5FSYT8RY2YDC,12.43,85%,Male,36-45,SC
1/30/18,11:17:04,Vintage Clothing,1,,29,$78.00 ,($11.70),1VTCZFJMTS2HYXT65G6PJBMJNW,12.43,84%,Male,18-25,TN
5/15/18,14:05:43,Antiques,1,Regular,1037,$77.00 ,$0.00 ,WTDMAZ8TAS6KWHVNN3572BGYHG,12.43,84%,Female,26-35,VA
9/29/18,17:56:13,Furniture,1,Regular,1583,$75.00 ,$0.00 ,9D6DARVHJX61GVMM0AF13XBGJW,12.43,83%,Female,18-25,FL
12/1/17,20:45:39,Vintage Clothing,1,,561,$74.00 ,($7.40),ANGDGM93413X8NDZS1WMTAM7QC,32.45,56%,Female,36-45,VA
11/22/17,13:25:39,Handmade - Candles,4,,169,$72.00 ,($14.40),8Q2A5N980S2CV0VBNDXZ58HN6M,32.45,55%,Female,46-55,GA
9/29/18,16:50:06,Furniture,1,Regular,1715,$71.00 ,$0.00 ,DNB0XVYDNS73YZ5FBQ3MDGCHMC,32.45,54%,Female,18-25,GA
9/28/18,14:39:48,Furniture,1,Regular,1713,$70.00 ,$0.00 ,FV8CSGV17D4638XE4S8Q44F59G,32.45,54%,Male,26-35,FL
4/3/18,13:04:17,Handmade - Home,1,,447,$70.00 ,($14.00),ZGV3RWANQS42ANYC53XGM9DPNR,32.45,54%,Male,36-45,FL
12/9/17,15:12:10,Handmade - Jewelry,1,,167,$69.99 ,$0.00 ,J0K5KJEZP90H2TF50JR6BQM4A8,32.45,54%,Male,46-55,NC
11/4/17,17:23:42,Handmade - Jewelry,1,,167,$69.99 ,$0.00 ,C7KBMW3HDH0JJN5XGB4S3T0C9R,32.45,54%,Female,56-64,NC
5/4/18,18:32:45,Handmade - Jewelry,1,Regular,877,$68.00 ,($6.80),YPEPJPB5NX1F5C4YBQ3KT03G24,32.45,52%,Female,18-25,NC
3/16/18,15:39:23,Handmade - Jewelry,1,Regular,877,$68.00 ,($10.20),XPX4RJS9N17YWWWHHAH0C4X4PC,32.45,52%,Female,26-35,NC
3/2/18,17:05:16,Furniture,1,,11,$68.00 ,($6.80),1SHNDWTVJH4AYXYPPD497G7BZ4,32.45,52%,Female,36-45,NC
9/15/18,14:31:58,Handmade - Home,1,,446,$66.99 ,($13.40),9D6DARVHJX61GVMM0AF13XBGJW,32.45,52%,Female,18-25,FL
6/21/18,13:35:10,Handmade - Home,1,,446,$66.99 ,$0.00 ,ZGV3RWANQS42ANYC53XGM9DPNR,32.45,52%,Male,36-45,FL
5/8/18,13:09:53,Handmade - Textiles,3,Regular,1044,$66.00 ,($9.90),GGRBWQVEF1176MWGBHCRNAJ6C0,43.65,34%,Male,56-64,NC
2/24/18,15:53:54,Antiques,1,,934,$65.00 ,$0.00 ,SPKCNG3ZSN3H4GKAME7SYHQYZ4,43.65,33%,Female,64+,NC
1/2/18,14:54:17,Handmade - Pottery,1,Regular,767,$65.00 ,($9.75),9D6DARVHJX61GVMM0AF13XBGJW,43.65,33%,Female,18-25,FL
12/20/17,13:52:25,Handmade - Pottery,1,Regular,149,$65.00 ,($9.75),C3V7264CQ94DMTY7XTYPX9BAZ0,43.65,33%,Female,18-25,NC
10/12/18,18:56:34,Antiques,1,Regular,1302,$64.00 ,$0.00 ,0DTZWFET9S1CCQJTXK2DWCHK78,43.65,32%,Female,26-35,NC
10/12/18,12:37:09,None,1,,1090,$64.00 ,$0.00 ,YEXGAEBH496DYHB5W8YKX05K0M,43.65,32%,Female,18-25,NC
11/25/17,16:02:48,Vintage Clothing,1,,226,$64.00 ,($12.80),SDYF84QZZN044KAR7BDDRXY8QG,43.65,32%,Male,26-35,NC
10/13/17,12:23:48,Handmade - Candles,2,,367,$64.00 ,$0.00 ,JFH7BG20RS6BTMV9HCK20ZWD1M,43.65,32%,Male,36-45,SC
10/12/17,18:37:03,Handmade - Pottery,2,,195,$64.00 ,$0.00 ,1JQ6FFGTV13X0J9Y75C1QJBQ8G,43.65,32%,Female,18-25,SC
9/18/18,14:11:57,None,1,,1108,$61.00 ,($12.20),JM9K6PY1TD0TMQ9BK16RZ19HZ0,43.65,28%,Female,36-45,VA
6/9/18,14:54:27,Antiques,1,,313,$60.99 ,($6.10),399VK7734S2AMKBD94Z2QHQEWM,43.65,28%,Female,36-45,TN
5/25/18,12:55:36,Handmade - Pottery,2,"x-small, white",1111,$60.00 ,$0.00 ,7ABN6941C54J8GNND0EMF5CNT8,43.65,27%,Female,46-55,VA
12/16/17,16:03:56,Handmade - Artwork,3,Regular,764,$60.00 ,($9.00),M1Z9V825FX7H6YV3V0RN437KWC,43.65,27%,Male,18-25,VA
11/10/17,15:10:46,Vintage Clothing,1,,514,$59.00 ,$0.00 ,29JBC7HM190V6P1B8R9R7G6G04,43.65,26%,Male,26-35,VA
2/10/18,16:09:04,Antiques,1,Regular,605,$58.00 ,$0.00 ,CY4R1654M966EJCJN5X1B6K10G,43.65,25%,Female,46-55,NC
10/12/17,19:30:03,Handmade - Jewelry,1,,391,$58.00 ,$0.00 ,VPVPYB79D5482P3Y7QC1PVEKYW,21.45,63%,Female,46-55,GA
6/8/18,15:18:09,Handmade - Textiles,1,,498,$57.99 ,$0.00 ,P84AX8D18X5CGG2630AQXN0HK0,21.45,63%,Female,18-25,NC
6/9/18,17:32:38,Vintage Clothing,1,Regular,956,$57.00 ,($8.55),WJ06Y207TH1EAMF9J6JVFXMFQ4,21.45,62%,Female,18-25,GA
5/31/18,16:29:44,Handmade - Candles,3,Regular,766,$57.00 ,$0.00 ,A8P7DRKTJD52TRF5KSMK98HFP4,21.45,62%,Female,26-35,FL
11/18/17,16:36:33,Vintage Clothing,1,,563,$57.00 ,($8.55),8MB18JEH8X24PJTNBFV9TWFM0M,21.45,62%,Male,36-45,FL
8/4/18,17:57:00,Handmade - Textiles,2,Regular,1038,$56.00 ,$0.00 ,XQYMX2QV2D0YQFN31WV114V06C,21.45,62%,Male,46-55,NC
2/14/18,13:41:40,Antiques,1,Regular,863,$56.00 ,$0.00 ,5YABFJS0XX4WRGNSBA2MR4X210,21.45,62%,Female,56-64,NC
2/2/18,19:24:22,Vintage Clothing,1,,565,$56.00 ,($11.20),VABF294Y0H0CV6CR6DEC499KDC,21.45,62%,Female,36-45,SC
12/26/17,14:20:48,Holiday,2,Regular,610,$56.00 ,($14.00),JBF7A60QDD59RHYW078FDE036W,21.45,62%,Female,18-25,NC
11/24/17,18:55:17,Vintage Clothing,1,,255,$56.00 ,($11.20),X4BFAJ0Y1H57AH9KXYRZZZHB2C,21.45,62%,Female,26-35,NC
11/11/17,12:38:14,Vintage Clothing,1,,123,$56.00 ,$0.00 ,QFFX587V8929GTSJQS0Z97XRZ8,21.45,62%,Male,18-25,NC
10/13/17,18:47:37,Handmade - Home,4,Regular,95,$56.00 ,$0.00 ,KS9B7FG9Z53HCGAFBFMPA0TFPM,21.45,62%,Male,26-35,SC
10/13/17,12:23:48,Handmade - Pottery,2,,390,$56.00 ,$0.00 ,JFH7BG20RS6BTMV9HCK20ZWD1M,21.45,62%,Male,36-45,SC
4/7/18,13:10:44,Handmade - Home,1,,447,$55.99 ,$0.00 ,6QNSQ6BW957APTBFD8FYXZYS68,21.45,62%,Female,18-25,SC
1/10/18,12:01:14,Handmade - Artwork,1,,504,$55.00 ,$0.00 ,6QNSQ6BW957APTBFD8FYXZYS68,21.45,61%,Female,18-25,SC
12/28/17,14:03:40,None,1,,632,$55.00 ,$0.00 ,6QNSQ6BW957APTBFD8FYXZYS68,21.45,61%,Female,18-25,SC
11/17/17,14:47:31,Handmade - Jewelry,1,Regular,612,$55.00 ,$0.00 ,N3F8VKAJFH3QWPYK5BN9VQYEGM,21.45,61%,Female,26-35,TN
10/12/17,18:37:03,Handmade - Artwork,1,,40,$55.00 ,$0.00 ,1JQ6FFGTV13X0J9Y75C1QJBQ8G,21.45,61%,Female,18-25,SC
5/10/18,19:34:29,Handmade - Jewelry,1,,163,$54.99 ,($5.50),JA9A2ZA5FX0XJWZBKNYAWMWCSM,21.45,61%,Male,46-55,VA
7/4/18,16:02:30,Handmade - Artwork,3,,57,$54.00 ,$0.00 ,RBYSDGSCYH37ARB2XG4B5V51RC,21.45,60%,Male,18-25,GA
12/26/17,13:23:18,Vintage Clothing,1,,574,$54.00 ,$0.00 ,HHEHSTTGWX6R2QZXY8MNFW87M0,21.45,60%,Male,26-35,GA
9/22/18,18:31:23,Furniture,1,Regular,1352,$53.00 ,($16.96),Y38TDM5A1H0W4VX0N3X5AW9VJG,21.45,60%,Male,64+,NC
9/21/18,19:11:43,Vintage Clothing,1,,1570,$52.00 ,($7.80),8TC6H6D9MD07TQ5FSYT8RY2YDC,21.45,59%,Male,36-45,SC
8/21/18,13:05:33,Furniture,1,Regular,1479,$52.00 ,($10.40),8TS04YWCD1180M0NGAVWVADGX8,21.45,59%,Female,18-25,SC
6/23/18,13:43:12,Antiques,1,Regular,896,$52.00 ,$0.00 ,FB44D0FBX51ZEYXJAHB8ZPEBPC,21.45,59%,Female,18-25,NC
2/3/18,18:09:48,Handmade - Jewelry,1,Regular,891,$52.00 ,$0.00 ,RBYSDGSCYH37ARB2XG4B5V51RC,21.45,59%,Male,18-25,GA
12/28/17,16:47:04,Vintage Clothing,1,,461,$52.00 ,$0.00 ,2W0YMM8PS947AHMJWFHF38ZZMC,21.45,59%,Male,26-35,NC
4/11/18,14:11:35,Handmade - Pottery,1,Regular,155,$51.99 ,($7.80),2W0YMM8PS947AHMJWFHF38ZZMC,21.45,59%,Male,26-35,NC
9/1/18,14:56:04,Handmade - Textiles,2,,492,$51.98 ,($10.40),9XGK3AW8S56DCXNZC063GWNQ9R,21.45,59%,Male,36-45,NC
12/22/17,12:40:55,Holiday,1,,642,$51.00 ,($7.65),GZ3WBGEY5X3KSA178HNG6J7MC0,12.54,75%,Female,46-55,NC
4/6/18,20:05:08,Furniture,1,Regular,688,$50.99 ,($5.10),7HT5TTF8XH3EYM8Q44Y2KHQVS4,12.54,75%,Female,56-64,NC
4/3/18,13:04:17,Handmade - Artwork,1,,849,$50.00 ,$0.00 ,ZGV3RWANQS42ANYC53XGM9DPNR,12.54,75%,Male,36-45,FL
12/23/17,13:32:29,Vintage Clothing,1,,112,$50.00 ,($7.50),QFFX587V8929GTSJQS0Z97XRZ8,12.54,75%,Male,18-25,NC
12/22/17,18:18:48,None,1,,636,$50.00 ,($7.50),BW83DBYDND4J2PNKFA7ZXSZ58M,12.54,75%,Male,26-35,NC
3/24/18,16:14:40,Handmade - Jewelry,1,,142,$49.99 ,($7.50),AXSJ6J9G7121GYB144ZR6FGN3R,12.54,75%,Male,18-25,NC
12/9/17,15:12:10,Handmade - Jewelry,1,,142,$49.99 ,$0.00 ,J0K5KJEZP90H2TF50JR6BQM4A8,12.54,75%,Male,46-55,NC
7/19/18,16:19:02,Vintage Clothing,1,Regular,519,$49.00 ,($7.35),YJPHHMYQCH58JJ7V76S87TAY5M,12.54,74%,Female,36-45,NC
5/10/18,19:52:26,None,1,,1134,$49.00 ,($4.90),4HYMXBC6X502EZP0CT50NCM5TG,12.54,74%,Female,18-25,SC
9/20/18,13:43:57,Antiques,1,,1544,$48.00 ,$0.00 ,6E38BNBX8S3RH2R8TNZEQCRDT4,12.54,74%,Male,26-35,TN
9/12/18,14:52:26,Antiques,1,Regular,1472,$48.00 ,($9.60),554DXKX0QH6STGY80TYMNRF280,12.54,74%,Male,36-45,SC
8/4/18,12:43:10,Handmade - Jewelry,1,Regular,1420,$48.00 ,$0.00 ,X1BYHPZ9HD0S2NMG0Z6S17EKK4,12.54,74%,Male,46-55,TN
5/2/18,16:53:04,Handmade - Jewelry,1,Regular,892,$48.00 ,$0.00 ,856AWM523H05JSKH732BJ9FBDR,12.54,74%,Male,18-25,VA
2/17/18,16:53:08,Handmade - Jewelry,1,Regular,878,$48.00 ,($7.20),", QHE4DA31P96MYQTW46FMK4HD2R",12.54,74%,Female,26-35,VA
2/14/18,16:34:11,Handmade - Jewelry,1,Regular,878,$48.00 ,($7.20),WR8EP0XRPH2SRNSNPYHFD4TRV4,12.54,74%,Female,36-45,VA
2/3/18,18:09:48,Handmade - Jewelry,1,Regular,878,$48.00 ,$0.00 ,9XGK3AW8S56DCXNZC063GWNQ9R,12.54,74%,Male,36-45,NC
12/21/17,14:44:27,Antiques,1,Regular,606,$48.00 ,($7.20),1N5Z2GNMX90R6PAXA9250PB8CC,12.54,74%,Female,46-55,GA
12/16/17,14:35:45,Antiques,1,Regular,606,$48.00 ,$0.00 ,3KJ6H3YNZX7BJZ1DWFW634HBRR,12.54,74%,Female,56-64,GA
10/31/17,14:51:54,Antiques,1,,200,$48.00 ,$0.00 ,15963CGQGN5DXFF0N6NA80X25M,12.54,74%,Male,18-25,GA
5/10/18,12:34:03,Handmade - Home,1,,443,$47.99 ,$0.00 ,9XGK3AW8S56DCXNZC063GWNQ9R,12.54,74%,Male,36-45,NC
9/8/18,13:09:11,Vintage Clothing,1,,343,$47.00 ,($9.40),X7VVNSZY792C0SEC1YVCDGZKX0,12.54,73%,Male,26-35,GA
9/29/18,16:50:06,Antiques,1,Regular,789,$46.00 ,$0.00 ,DNB0XVYDNS73YZ5FBQ3MDGCHMC,12.54,73%,Female,18-25,GA
8/22/18,20:57:16,Handmade - Jewelry,1,Regular,1418,$46.00 ,($4.60),GGBPXTE87N420GMX87PM05ZQGG,12.54,73%,Female,46-55,FL
7/24/18,15:04:33,Handmade - Jewelry,1,Regular,1418,$46.00 ,$0.00 ,8540H480P1308HZAGC050M12M8,12.54,73%,Female,56-64,NC
2/8/18,13:42:51,Handmade - Jewelry,1,Regular,884,$46.00 ,$0.00 ,N55H0JCHJN428N7Z8T98XP32KR,12.54,73%,Female,56-64,NC
11/25/17,12:23:35,Antiques,1,,74,$46.00 ,($9.20),Y38TDM5A1H0W4VX0N3X5AW9VJG,12.54,73%,Male,64+,NC
9/28/18,14:47:53,Antiques,3,,111,$45.00 ,$0.00 ,1M6XB51RX53SPM6RC63XEG1CGG,12.54,72%,Male,56-64,GA
9/28/18,7:47:46,Furniture,1,Regular,1712,$45.00 ,$0.00 ,JJY0KHGKJS0KRKGA1B72KVKJG0,12.54,72%,Male,56-64,NC
8/28/18,9:34:26,Furniture,1,Regular,1602,$45.00 ,$0.00 ,7B94RT0BS5446R609EF4VK5WMM,12.54,72%,Male,64+,NC
8/22/18,20:47:11,Handmade - Pottery,1,"large, speckled white w/ drain",1291,$45.00 ,($4.50),C7KBMW3HDH0JJN5XGB4S3T0C9R,12.54,72%,Female,56-64,NC
6/30/18,14:45:46,Furniture,1,,1282,$45.00 ,$0.00 ,GGRBWQVEF1176MWGBHCRNAJ6C0,12.54,72%,Male,56-64,NC
5/5/18,16:50:39,Handmade - Artwork,1,Regular,1125,$45.00 ,($9.00),SPKCNG3ZSN3H4GKAME7SYHQYZ4,12.54,72%,Female,64+,NC
3/21/18,14:16:44,Antiques,1,Regular,834,$45.00 ,$0.00 ,5YABFJS0XX4WRGNSBA2MR4X210,12.54,72%,Female,56-64,NC
3/13/18,14:16:17,Antiques,1,Regular,903,$45.00 ,$0.00 ,7HT5TTF8XH3EYM8Q44Y2KHQVS4,12.54,72%,Female,56-64,NC
3/10/18,14:04:44,Handmade - Artwork,1,,850,$45.00 ,$0.00 ,3KJ6H3YNZX7BJZ1DWFW634HBRR,12.54,72%,Female,56-64,GA
2/22/18,16:45:55,Handmade - Artwork,1,,850,$45.00 ,$0.00 ,8540H480P1308HZAGC050M12M8,12.54,72%,Female,56-64,NC
2/14/18,17:26:17,Vintage Clothing,1,,673,$45.00 ,$0.00 ,9Q48REY9X1770TYPFSJQVQQ29M,23.45,48%,Female,64+,NC
12/20/17,14:11:44,Vintage Accessories,1,,703,$45.00 ,($6.75),FSRSKMFC993WCQCNXZVM2YHS84,23.45,48%,Male,56-64,FL
12/9/17,14:44:24,Handmade - Artwork,3,,57,$45.00 ,$0.00 ,PHRT6JMQ197YES5YQP5RJQ0JBR,23.45,48%,Female,56-64,NC
11/25/17,12:38:48,Handmade - Pottery,1,Regular,609,$45.00 ,($9.00),A4F04F01G916TS9RN3CFC7F4A4,23.45,48%,Male,56-64,GA
7/20/18,18:10:45,Handmade - Jewelry,1,Regular,877,$44.99 ,$0.00 ,2CMRW4J0ZX376M2VAV8HTTEE18,23.45,48%,Male,56-64,FL
6/9/18,16:52:33,Handmade - Jewelry,1,Regular,877,$44.99 ,($9.00),XDJJAN2FFH2KJK0A6GBHW7NGB0,23.45,48%,Male,64+,NC
9/22/18,13:40:25,Handmade - Jewelry,3,,396,$44.97 ,($8.99),0RPEC48T9D676T2KSVF5MBPRXW,23.45,48%,Female,56-64,FL
10/12/18,20:26:20,Handmade - Textiles,1,Regular,1629,$44.00 ,$0.00 ,2ZCDXDZS0S7JYSZJV126BK1R18,23.45,47%,Male,56-64,NC
2/27/18,12:58:48,Antiques,1,,502,$44.00 ,$0.00 ,2BEDGZJC7N4N4ZK3B9WEA91PF8,23.45,47%,Female,64+,NC
9/8/18,13:09:11,Antiques,1,,602,$43.99 ,($8.80),7Q89DYAE6H29JPT8VKB0KFRJTW,23.45,47%,Female,56-64,FL
9/8/18,15:36:27,Antiques,1,Regular,1595,$43.00 ,($8.60),FP7FS6P0MD2PCNSYPCTXK4N6Y4,23.45,45%,Female,56-64,GA
2/21/18,20:15:07,Handmade - Jewelry,1,,407,$43.00 ,($4.30),", ZGV3RWANQS42ANYC53XGM9DPNR",23.45,45%,Female,56-64,NC
11/24/17,11:50:06,Handmade - Jewelry,1,,407,$43.00 ,($8.60),BZQGE0BM6H5PPKG7CTASZBNVAR,23.45,45%,Female,64+,NC
8/14/18,13:42:51,Furniture,1,,1484,$42.00 ,$0.00 ,A2C5TMA2Q96EAK9XG039JPDJD4,23.45,44%,Female,56-64,VA
7/24/18,15:08:47,Handmade - Jewelry,1,,92,$42.00 ,$0.00 ,BBNHPHN4N5176G967GW111QDYG,23.45,44%,Female,64+,FL
6/28/18,16:37:58,Handmade - Pottery,1,"medium, speckled white w/out drain",1118,$42.00 ,$0.00 ,C8NVR159RD28EJ7DFQG44Z91MG,23.45,44%,Female,56-64,NC
5/26/18,14:47:16,Antiques,1,Regular,1018,$42.00 ,$0.00 ,8A4HSC2CFN1KYMAHNKMQD7D57M,23.45,44%,Male,64+,NC
5/8/18,13:09:53,Antiques,1,Regular,787,$42.00 ,($6.30),FM9801NFNN230SDGQDY9170ENM,23.45,44%,Male,56-64,VA
3/7/18,14:52:10,Handmade - Jewelry,1,,92,$42.00 ,$0.00 ,F1ECVVJWMX5ZPPF0FT9RMTV22W,23.45,44%,Male,56-64,GA
3/3/18,12:57:49,Vintage Clothing,1,,133,$42.00 ,$0.00 ,GE3Y2GS9W90SPS9QN3CG0E7QDR,23.45,44%,Male,64+,GA
12/27/17,14:37:47,Handmade - Jewelry,1,,92,$42.00 ,$0.00 ,0JBR31QSW92JGW5HSHH4EEPCF4,23.45,44%,Male,56-64,NC
11/10/17,18:35:55,Vintage Clothing,1,Regular,480,$42.00 ,$0.00 ,GFWZQMTWVH4GWPBDP0Z8JFGC0R,23.45,44%,Male,64+,NC
11/10/17,18:25:52,Handmade - Jewelry,1,,92,$42.00 ,$0.00 ,YRA83FFMM531MTPCB4QRNPWPTC,23.45,44%,Female,56-64,VA
10/20/17,17:42:40,Vintage Clothing,1,,302,$42.00 ,$0.00 ,F5GT3JYWN521GY625QFN8HFPP8,23.45,44%,Female,64+,GA
10/12/17,18:37:03,Handmade - Pottery,1,,360,$42.00 ,$0.00 ,N7BDQ0F39D0T0MFWGTTYJQJQX0,23.45,44%,Male,64+,NC
9/29/18,12:47:11,Antiques,1,Regular,957,$41.00 ,($8.20),47VVHX45Z54XWVPXANAZ449CPC,23.45,43%,Male,56-64,SC
10/6/18,18:37:15,Vintage Clothing,1,,233,$40.99 ,($8.20),MHYF89389N76PM0Z7Y0NHKAM0R,23.45,43%,Male,56-64,FL
10/5/18,20:33:30,Handmade - Jewelry,1,,163,$40.99 ,($11.48),VY7QEEK0B1584MVD2X9EZCYT54,23.45,43%,Female,64+,FL
6/16/18,12:32:18,Handmade - Jewelry,1,,391,$40.99 ,($6.15),3RTYSH5HKN7KAH0VFFX7BBKP94,23.45,43%,Female,64+,FL
9/18/18,15:47:36,Handmade - Jewelry,1,Regular,1316,$40.00 ,$0.00 ,CP3VYYQMEN2KCJR3WV5AFN3M5C,23.45,41%,Female,56-64,SC
8/18/18,14:59:53,Furniture,1,Regular,959,$40.00 ,($4.00),VGN0BKZJ2D26EYR799YYRG2GJR,23.45,41%,Female,64+,VA
7/21/18,14:57:42,Handmade - Candles,2,Regular,1332,$40.00 ,($6.00),FFSHBM8JT94NRRK1H1QEP107ER,23.45,41%,Male,56-64,GA
7/14/18,16:49:37,Handmade - Jewelry,1,Regular,1316,$40.00 ,$0.00 ,ZB2E5P2AN92N6QEXKCBY30F8R4,23.45,41%,Female,56-64,SC
5/19/18,12:19:06,Handmade - Artwork,2,,860,$40.00 ,$0.00 ,39YFBD22TS71MZ1R966B3B276C,23.45,41%,Male,56-64,VA
5/5/18,13:22:54,Handmade - Artwork,1,,854,$40.00 ,$0.00 ,HPP4V1PZA96YEV215WYG6J5WMM,23.45,41%,Female,56-64,SC
5/2/18,12:27:16,Handmade - Pottery,1,"medium, speckled white",1118,$40.00 ,$0.00 ,QDNAHFW7717X2GYHDN8RWWWQZC,23.45,41%,Female,56-64,GA
4/14/18,16:31:32,Antiques,1,,451,$40.00 ,($4.00),EBYPSC360N7R2TYPBZHAAPJ9M8,23.45,41%,Female,56-64,VA
3/30/18,18:02:16,Handmade - Home,1,,445,$40.00 ,$0.00 ,T4N77QWC013AMXSMV1HKX5NZWW,23.45,41%,Female,56-64,SC
2/24/18,14:32:29,Handmade - Jewelry,1,,393,$40.00 ,$0.00 ,KDSG3S1JDX7S4WQDCGF4FKKMV4,23.45,41%,Male,56-64,NC
2/17/18,16:53:08,Handmade - Home,1,,445,$40.00 ,($6.00),BRYRA99X2S4ZTPTJFTYA0XTG98,23.45,41%,Male,56-64,NC
2/14/18,17:15:21,Handmade - Jewelry,1,,416,$40.00 ,($6.00),TG5BK1D5NS502M7FE2DBXNS4WC,23.45,41%,Male,64+,GA
